country,year,gross_output15,gross_output16,gross_output17,gross_output18,gross_output19,gross_output20,gross_output21,gross_output22,gross_output23,gross_output24,gross_output25,gross_output26,gross_output27,gross_output28,gross_output29,gross_output30,gross_output31,gross_output32,gross_output33,gross_output34,gross_output35,gross_output36
TWN,2016,25618833834,1229675746,12235357328,2428281249,1664700562,1336196599,6685313961,3237398977,26511250480,75023697358,16202833858,10941666092,46541299358,26673909283,30744246316,32833221735,16064737833,74541779295,82683551498,16259662352,11181044910,15639869820
TWN,2017,27762168425,1570392337,12708156517,2438505458,1767665163,1466210781,7469347785,3333408119,31161651849,87647377013,17416028432,11039530797,57286252928,29474138009,35646052677,29159453505,17618147731,79405825999,99659552949,17258813582,12538951818,17750988694
USA,2010,660858519670,33548727834,54817324617,15083871660,4847929358,78939721368,160190028660,92549684506,669980440850,673562366420,183159446380,123698381200,260661750050,290302238800,378241925560,60851063017,134029442400,146607293600,206776219110,344926981920,207250557780,130390820230
USA,2011,738986533060,37514925408,61297938159,16867117078,5421061244,88272132807,179128013620,103491092960,749186865970,753192253940,204812921750,138322250750,291477702470,324622348980,422958441040,68044997157,149874670630,163939500520,231221716500,385704938260,231752132430,145805883280
USA,2012,841323787000,40183568000,52316100000,12264646000,4986376000,78123546000,180610366000,82453090000,851135772000,785299730000,218571414000,99042260000,269539592000,339926995000,397240015000,58893347673,123616757000,79646353710,179985948782,508202794000,277483202000,215883977000
USA,2013,869601428000,40250791000,54428851000,12052793000,5103974000,88617589000,185895489000,82425482000,852802350000,785616462000,225763428000,106181751000,263207623000,347104973000,388844301000,62550950545,123513048000,92688748583,157976883530,545989834000,295020250000,224107558000
USA,2014,903539149000,37301578000,56518428000,11465676000,5132259000,94924481000,186942473000,81628544000,786274467000,787436016000,234391839000,113186981000,265425219000,357477610000,399598576000,80050449541,126449870000,111067645951,115179624067,600207143000,311969878000,221387831000
USA,2015,887366674000,41453199000,54240121000,10974161000,4990545000,97718204000,185320774000,81049239000,507785122000,737286228000,236525488000,118189067000,228434073000,349060905000,273775894000,37349553582,178649042000,130192623783,137893987017,637846239000,311496332000,279895629784
USA,2016,877031873000,42618707000,52864733000,10513241000,4919081000,102046653000,181666674000,82692521000,430328736000,723270932000,235711230000,123229929000,206602620000,335755502000,261642948000,51851349743,177053885000,117718934190,130576700066,647146756000,302128413000,260668151480
USA,2017,914198586410,44424795602,55105026017,10958769409,5127541011,106371169390,189365314630,86196851144,448565136860,753921589380,245700161990,128452146800,215357992070,349984093800,272730810100,43813305899,184557045600,119310594898,149742671902,674571435490,314931961520,239697638600
VNM,2010,31307280333,1470602404,6056127688,6673714937,5484035727,2629464305,2987505988,1323989165,6484577465,9678198382,6972238811,8683733069,7094406661,9465039957,3070346309,823572734,4955263145,3237848696,1990784085,4588883167,5974721854,6749404310
VNM,2011,35005950828,1516766416,7354097441,7398603103,6062872536,3123597313,3628357245,1280956618,6608949402,10223464450,7898009483,9624115360,7293131316,10219256695,5262677507,2275486644,5890676386,3099143447,4631030837,5084957155,6870980875,6662943234
VNM,2012,41743465527,1890959286,7710245823,8311225274,7071932015,3892908585,4168278279,1312449587,7607081813,11540772038,8663097753,10225067217,9451185904,11461426925,5695784521,3648726782,7211330901,4934475546,11150997146,5020405224,7047148070,8573564432
VNM,2013,41257590845,1868949392,7620502118,8214486445,6989617988,3847596925,4119761443,1297173279,7518538890,11406442775,8562263292,10106052152,9341178459,11328021203,5629488217,3895148801,7127394336,5771878202,9837475901,4961970023,6965122517,8473772097
VNM,2014,45655718465,2068182497,8432860285,9090164326,7734722860,4257757139,4558934846,1435454103,8320027607,12622388495,9475014761,11183374074,10336963578,12535607054,6229600998,5640871519,7887186394,7826543440,8116299967,5490924258,7707616131,9377090259
VNM,2015,49648670631,2249061346,9170380334,9885170791,8411185293,4630131535,4957649605,1560995870,9047679550,13726315783,10303679427,12161448218,11241012457,13631944621,6774428670,2870143456,8576982964,10004711471,10596526236,5971148831,8381707867,10197190656
VNM,2016,62124483343,2814209773,11474731006,12369135373,10524763986,5793599824,6203417259,1953245891,11321197734,17175490610,12892807658,15217400136,14065675521,17057405682,8476720035,5073642676,10732223613,11518770703,12776900144,7471590505,10487879416,12759560186
VNM,2017,71391883427,3234018622,13186470362,14214297217,12094792313,6657858238,7128810060,2244620727,13010033813,19737638970,14816088149,17487450972,16163918202,19601938761,9741232056,4726359109,12333199664,12870626982,16153486410,8586162647,12052405499,14662963527
