country,code,year,valuecap,valuecapit_qi,valuecapintang_qi,valuecapnit_qi,valuecaptang_qi,valuecap_qi,valuelab,valuelab_qi,valuelp1conintangoipp,valuelp1conintangrd,valuelp1conintangsoftdb,valuelp1conlc,valuelp1contfp,valuelp1contangict,valuelp1contangnict,valuelp1tfp_i,valuelp1_g,valuelp2conintangoipp,valuelp2conintangrd,valuelp2conintangsoftdb,valuelp2conlc,valuelp2conlhe,valuelp2contfp,valuelp2contangict,valuelp2contangnict,valuelp2tfp_i,valuelp2_g,valuevaconh,valuevaconintangoipp,valuevaconintangrd,valuevaconintangsoftdb,valuevaconlc,valuevacontfp,valuevacontangict,valuevacontangnict,valuevatfp_i,valueva_g
BEL,A,2010,902.8447615809164,100,,100,,100,1880.755238419084,100,0,0.0657653022953079,0.0106933716784431,0.5597616949267147,7.939039838671651,0.0191762222123775,3.696863162997142,100,12.318637214596832,0,0.0667218180427273,0.0108649278465652,0.5597616949267147,0.1531823429953041,7.939039838671635,0.0193909965430177,3.768326901655873,100,12.544560528218545,-3.239157325231189,0,0.0455390482155718,0.0070656858251306,0.5597616949267147,7.939039838671656,0.014634655392328,2.185707973446803,100,7.5413166569607695
BEL,A,2011,936.539056694779,104.1031797791147,,107.01194453728537,,106.9856100327511,1504.560943305221,98.1866276710074,0,0.05711836797574,-0.0558559506612297,0.4898961447447168,-0.3959764010094826,0.0903889115981613,3.213875125666032,99.6048065517643,3.4005514741042435,0,0.066348326153822,-0.0528220885493793,0.4898961447447168,1.060618006173871,-0.3959764010094804,0.095123888955778,3.778080350878436,99.6048065517643,5.042373503138069,-1.672087201681981,0,0.042567139492164,-0.0606388998280021,0.4898961447447168,-0.3959764010094655,0.0829241174933675,2.324393398306873,99.60480655176433,0.8121835733079785
BEL,A,2012,986.3259556837372,84.41495023003418,,111.7784579683394,,111.232085770316,2053.674044316263,94.16322559906617,0,0.0018091859161253,-0.1880317831047646,0.3286399965635298,0.5590436929910596,0.0818536759331798,3.140097702579261,100.1632003189882,3.9273104486684716,0,-0.0170212480647772,-0.1941285240033462,0.3286399965635298,-2.10485986765391,0.5590436929910685,0.0654410399845302,2.027738449813552,100.1632003189882,0.6687515174207284,-3.03130694072345,0,-0.0253094009790523,-0.1968119842410341,0.3286399965635298,0.559043692991074,0.0582170728360994,1.538137222784953,100.1632003189882,-0.7654923629777995
BEL,A,2013,966.026658454921,71.08715539353922,,114.41895898942994,,113.3315760602666,1733.173341545079,92.89930883183816,0,-0.0194284257143979,-0.184214435348342,0.5150877557147194,-15.5050229076081,0.0666123606779323,1.506526877793087,85.77697637203305,-13.624201962620111,0,-0.0216441066180417,-0.1846469612458281,0.5150877557147194,-0.2613400010975055,-15.5050229076081,0.0637382391642622,1.376715406150089,85.77697637203305,-14.020875763675415,-1.405396495396307,0,-0.0313435943216549,-0.186540410621711,0.5150877557147194,-15.5050229076081,0.0511563252999117,0.808445502790569,85.77697637203306,-15.757377012277582
BEL,A,2014,930.8538046776406,56.90714668799892,,117.68596724963297,,115.8167427697555,1667.34619532236,94.77523162323263,0,-0.0538279450208133,-0.219414787630683,0.1967132986328209,-2.434866894877201,-0.0013364398007328,0.4453055962116127,83.71364282129059,-2.0675682560389084,0,-0.0416413363140892,-0.2185058515014119,0.1967132986328209,1.294045697657132,-2.434866894877192,0.0166674585569409,1.136062961993868,83.7136428212906,-0.05166574940584361,1.086604291714115,0,-0.0435949050701055,-0.2186515580934664,0.1967132986328209,-2.434866894877187,0.0137813518340232,1.025331417209325,83.7136428212906,-0.3748240822043864
BEL,A,2015,1056.873132117952,58.31887094857312,,109.45038120010493,,107.9782562497183,1815.726867882049,98.08283069686115,0,-0.0496705101791956,-0.0128446668002471,0.5116877856806453,16.1465471742684,0.0106803933749361,-3.447492731056458,98.3829417297961,13.159860175102512,0,-0.0406652880679339,-0.0127122096330011,0.5116877856806453,0.961646664000677,16.14654717426837,0.0244980055385975,-2.922227343651206,98.38294172979609,14.669727517950587,1.673176079162963,0,-0.0340022582232964,-0.0126142036041002,0.5116877856806453,16.14654717426839,0.0347217580558134,-2.533579633534273,98.3829417297961,15.78688943162058
BEL,A,2016,1230.584608424948,60.30030839125328,,103.95201511055895,,102.7559931549695,1465.615391575052,98.9460770530787,0,-0.0346515982124147,-1.70038299083e-7,0.3044954719445285,-4.881312165444587,0.0280280583615874,-2.18615371733601,93.69588869601114,-6.7676969816389825,0,-0.0232722588095637,7.17415301896e-7,0.3044954719445285,1.099184388363458,-4.881312165444569,0.0455970519727668,-1.444402023464648,93.69588869601114,-4.897811678936513,0.2106064402352149,0,-0.032471288712722,0,0.3044954719445285,-4.88131216544457,0.0313943208759911,-2.04403226306638,93.69588869601115,-6.409422345081725
BEL,A,2017,1261.256553248259,62.85971869312566,,104.59584807835924,,103.4742345605016,1646.543446751741,100.6693153308659,0,-0.0387783767600065,0,0.4616256353653522,-11.38674576212178,0.0325574014121065,-0.0817425066294127,83.61198351928533,-11.01332406044054,0,-0.0237748637258239,0,0.4616256353653522,1.283425314538151,-11.38674576212179,0.0556404119454035,0.9095651106730342,83.61198351928532,-8.700504605032474,0.4964966902366553,0,-0.0329742255725454,0,0.4616256353653522,-11.3867457621218,0.0414871289160431,0.3017476313800315,83.61198351928532,-10.11860335350307
BEL,B,2010,118.104910528506,100,,100,,100,130.595089471494,100,0,0.0556199017167407,-1.171152211022261,0.1908081678417368,5.635239940162993,-0.1881515439603178,0.0420951091963486,100,4.564840895942273,0,0.0494237812859671,-1.181300860685408,0.1908081678417368,-0.5372457902816216,5.635239940162984,-0.1939464538700078,-0.423719674190403,100,3.53964064227028,-1.542460402154208,0,0.0378305200513448,-1.200289508184764,0.1908081678417368,5.635239940162971,-0.2047890295049925,-1.295283184145828,100,1.6214380360732916
BEL,B,2011,131.6715477996965,56.36098355880969,,95.02843080268458,,93.92957394529942,139.8284522003035,104.2077711910821,0,-6.269960768631e-4,-0.394071047807614,0.148246302745241,13.17948271117847,-0.2562479748216479,-4.194467218732291,114.0874218793961,8.480837085505199,0,0.0295220168116022,-0.3696483996208941,0.148246302745241,2.355734886057433,13.17948271117845,-0.2332101530667903,-2.098130849952689,114.0874218793961,13.01051782317226,1.995286540954816,0,0.0249089502622028,-0.3733852815484948,0.148246302745241,13.17948271117846,-0.236735144259753,-2.418888919707154,114.0874218793961,12.317436468645225
