country,code,year,valuecomp,valueemp,valueempe,valuego,valuego_pi,valuego_pyp,valuego_q,valueh_emp,valueh_empe,valueii,valueii_pi,valueii_pyp,valueii_q,valuelp_qi,valueva,valueva_pi,valueva_pyp,valueva_q
PRT,H,2011,3966.2,167.2,161.19,18437,103.1937,17866.4,17866.4,335820,322315,11272.4,107.13885,10521.3,10521.3,100.46806,7164.6001,97.54258,7345.1001,7345.1001
PRT,H,2012,3701,160.32001,154.64999,17464.199,103.81071,17360.4,16823.119,319127,305912,10518.9,109.51789,10290.4,9604.7324,104.32742,6945.2998,95.822128,7070,7248.1167
PRT,H,2013,3831.2,157.3,151.89999,17672.301,105.54265,17382.301,16744.227,313606,301625,10450.9,108.44906,10553.9,9636.6904,104.3772,7221.2998,101.33565,6828.3999,7126.1201
PRT,H,2014,3906.8999,159.56,153.86,17875.1,106.01594,17795.301,16860.768,318760,306321,10756.5,107.48676,10852.8,10007.278,98.724892,7118.7002,103.90753,6942.5,6850.9951
PRT,H,2015,4104.3999,164.14999,158.7,19507.5,107.30475,19273.199,18179.531,326042,314590,11851.7,105.55499,12068.6,11227.987,97.68325,7655.7998,110.41645,7204.5,6933.5684
PRT,H,2016,4249.8999,169.24001,163.85001,19770.699,107.94574,19653.301,18315.406,332834,321033,11900.5,103.80006,12101.7,11464.83,94.388725,7870.2002,115.07336,7551.7002,6839.2891
PRT,H,2017,4553.3999,176.19,170.09,21304.301,,,,349206,336775,12959.2,,,,94.304901,8345.2002,116.40125,8250,7169.3394
PRT,H49,2010,1954.2,104.47,99.68,7476.7002,100,7332.8999,7476.7002,219386,208450,4308.7002,100,4174,4308.7002,100,3168,100,3158.8999,3168
PRT,H49,2011,1892.4,103.92,99.160004,7456.6001,101.99292,7310.8999,7310.8999,219516,208376,4416.2998,107.60703,4104.1001,4104.0996,101.16795,3040.3,94.804955,3206.8999,3206.8999
PRT,H49,2012,1727.2,97.57,92.900002,6959.2002,103.05169,6887.7002,6753.1157,204881,193398,4235.5,111.30991,4094.6001,3805.1418,99.584801,2723.7,92.44603,2793.2,2946.2595
