country,year,isic,value_added,gross_output
12,2014,19,35555162,83930039
12,2015,19,27698484,64265646
12,2016,19,28158682,65333393
12,2017,19,29657242,68810330
12,2010,20,75608184.00625385,166534240.8311228
12,2011,20,68661165,120732871
12,2012,20,67246211,118332180
12,2013,20,65819646,115285176
12,2014,20,67225938,116047581
12,2015,20,59151010,101299581
12,2016,20,60133780,102982632
12,2017,20,63334002,108463200
12,2010,21,73669060.39250223,166546298.5534328
12,2011,21,37826708,107420173
12,2012,21,39039946,112502627
12,2013,21,38692981,111782523
12,2014,21,41747841,115960710
12,2015,21,33647351,91626464
12,2016,21,34206388,93148800
12,2017,21,36026796,98106028
12,2010,22,81868460.43163402,160063430.6597473
12,2011,22,114618079,228084492
12,2012,22,110477761,220104303
12,2013,22,110913159,220553772
12,2014,22,113764108,221732663
12,2015,22,88378919,170669932
12,2016,22,89847298,173505542
12,2017,22,94628825,182739224
12,2010,23,0,0
12,2011,23,69929120372,81908354812
12,2012,23,65359834875,76556329013
12,2013,23,60703252176,71547505052
12,2014,23,55783182364,67793517511
12,2015,23,29221363847,40838757355
12,2016,23,29706864677,41517276355
12,2017,23,31287815678,43726758248
12,2010,24,464791706.199522,1249272360.449255
12,2011,24,661480674,1938032668
12,2012,24,698514536,1958807066
12,2013,24,751482958,2067283705
12,2014,24,757802742,2094850574
12,2015,24,652915527,1776377539
12,2016,24,663763447,1805891315
12,2017,24,699087858,1901997912
12,2010,25,185371107.800478,553621016.2127924
12,2011,25,62683475,192602245
12,2012,25,60088243,185488110
12,2013,25,61913810,188626708
12,2014,25,67958139,198910344
12,2015,25,54284658,162009811
12,2016,25,55186575,164701536
12,2017,25,58123515,173466684
12,2010,26,948068402,1604105978
12,2011,26,1026174560,1739397893
12,2012,26,978874746,1659204173
12,2013,26,1012329844,1713868492
12,2014,26,1094888015,1827820759
12,2015,26,988276729,1542524477
12,2016,26,1004696536,1568152881
12,2017,26,1058164851,1651607425
12,2010,27,247354047.8360921,1039012892.901403
12,2011,27,684897860,2770919469
12,2012,27,712972342,2878444787
12,2013,27,754267441,3058005453
12,2014,27,810099235,3101353296
12,2015,27,740480076,2825563124
12,2016,27,752782845,2872508682
12,2017,27,792844724,3025378921
12,2010,28,223812908.5040771,621936165.7850667
12,2011,28,9213319,26885891
12,2012,28,9776108,28722154
12,2013,28,10167775,29722156
12,2014,28,12546691,34624399
12,2015,28,12026842,30320355
12,2016,28,12226663,30824115
12,2017,28,12877347,32464524
12,2010,29,214327398.0611871,583582496.2662866
12,2011,29,101223119,164098538
12,2012,29,99644079,163537007
12,2013,29,105331593,171957605
12,2014,29,118579257,191724851
12,2015,29,124399858,152028823
12,2016,29,126466710,154554718
12,2017,29,133197063,162779869
12,2010,30,9281717.145157048,44025844.83020609
12,2011,30,4994825.070835451,14021621.85139632
12,2012,30,3674213.983467644,10842853.40791767
12,2013,30,3684009.475378398,11554294.55862085
12,2014,30,5724798.500517525,19823548.62946377
12,2015,30,9307459.924759587,9674148.649485653
12,2016,30,9556161.0855333,13894092.88880348
12,2017,30,9146919.479891434,11862313.91152867
12,2010,31,106455149.6263088,345286615.5580166
12,2011,31,102059447,213263662
12,2012,31,101411001,208522582
12,2013,31,94193659,189231483
12,2014,31,103749094,201504071
12,2015,31,107665565,182825882
12,2016,31,109454383,185863458
12,2017,31,115279368,195754808
12,2010,32,72016375.1842103,173086138.3250717
12,2011,32,8374325.615979705,19097021.54741237
12,2012,32,7623080.801550346,14663689.0562313
12,2013,32,8293444.010818466,17121292.22755806
12,2014,32,12328614.47398799,27504591.08344691
12,2015,32,29853862.12041268,33722030.78017172
12,2016,32,32192319.22460755,31543977.43740537
12,2017,32,34013073.87919195,32302965.97385157
12,2010,33,36836157.27276842,106421628.0435191
12,2011,33,7621312.142517733,28536560.88514925
12,2012,33,8680530.475663861,33137210.48711528
12,2013,33,7576928.131968837,29181194.36767376
12,2014,33,8442319.881756786,28522873.91145576
12,2015,33,17477063.7713343,35716810.51881005
12,2016,33,15830926.68985915,34989345.67379115
12,2017,33,17483696.81928119,40542354.51090401
12,2010,34,146994217.8658631,574822241.5622662
12,2011,34,93051782,319257964
12,2012,34,88629835,305122912
12,2013,34,97230132,329967594
12,2014,34,53487870,277193751
12,2015,34,36289085,284761068
12,2016,34,36892013,289492255
12,2017,34,38855346,304898562
12,2010,35,67112273.80708997,208248274.7732285
12,2011,35,1645236,2920293
12,2012,35,1818511,2837393
12,2013,35,1776526,2822282
12,2014,35,1737425,2841931
12,2015,35,1877022,2304069
12,2016,35,1908208,2342350
12,2017,35,2009759,2467006
12,2010,36,0,0
12,2011,36,20469473,60846296
12,2012,36,20029414,59585250
12,2013,36,22880643,68251344
12,2014,36,21668172,62385968
12,2015,36,17836671,50391576
12,2016,36,18133020,51228811
12,2017,36,19098030,53955125
12,2010,37,676229553,794934712
12,2011,37,0,0
12,2012,37,0,0
12,2013,37,0,0
12,2014,37,0,0
12,2015,37,0,0
12,2016,37,0,0
12,2017,37,0,0
24,2010,15,,
24,2011,15,,
24,2012,15,,
24,2013,15,,
24,2014,15,,2090951233
24,2015,15,,1542682817
24,2016,15,,1526652601
24,2017,15,,2069469496
24,2010,16,,
24,2011,16,,
24,2012,16,,
24,2013,16,,
24,2014,16,,148048
24,2015,16,,131406
24,2016,16,,130040
24,2017,16,,176277
24,2010,17,,
24,2011,17,,
24,2012,17,,
24,2013,17,,
24,2014,17,,116826736
24,2015,17,,73248186
24,2016,17,,72487054
24,2017,17,,98260565
24,2010,18,,
24,2011,18,,
24,2012,18,,
24,2013,18,,
24,2014,18,,0
24,2015,18,,0
24,2016,18,,0
24,2017,18,,0
24,2010,19,,
24,2011,19,,
24,2012,19,,
24,2013,19,,
24,2014,19,,0
24,2015,19,,0
24,2016,19,,0
24,2017,19,,0
24,2010,20,,
24,2011,20,,
24,2012,20,,
24,2013,20,,
24,2014,20,,6971676
24,2015,20,,5635715
24,2016,20,,5577153
24,2017,20,,7560167
24,2010,21,,
24,2011,21,,
24,2012,21,,
24,2013,21,,
24,2014,21,,716717
24,2015,21,,361123
24,2016,21,,357371
24,2017,21,,484438
24,2010,22,,
24,2011,22,,
24,2012,22,,
24,2013,22,,
24,2014,22,,178443112
24,2015,22,,214588846
24,2016,22,,212359026
24,2017,22,,287865442
24,2010,23,,
24,2011,23,,
24,2012,23,,
24,2013,23,,
24,2014,23,,0
24,2015,23,,0
24,2016,23,,0
24,2017,23,,0
24,2010,24,,
24,2011,24,,
24,2012,24,,
24,2013,24,,
24,2014,24,,290037733
24,2015,24,,256246458
24,2016,24,,253583768
24,2017,24,,343748062
24,2010,25,,
24,2011,25,,
24,2012,25,,
24,2013,25,,
24,2014,25,,0
24,2015,25,,0
24,2016,25,,0
24,2017,25,,0
24,2010,26,,
24,2011,26,,
24,2012,26,,
24,2013,26,,
24,2014,26,,6528034292
24,2015,26,,6877402600
24,2016,26,,6805938621
24,2017,26,,9225859479
24,2010,27,,
24,2011,27,,
24,2012,27,,
24,2013,27,,
24,2014,27,,43116834
24,2015,27,,39009884
24,2016,27,,38604527
24,2017,27,,52330760
24,2010,28,,
24,2011,28,,
24,2012,28,,
24,2013,28,,
24,2014,28,,242034647
24,2015,28,,201334540
24,2016,28,,199242447
24,2017,28,,270085130
24,2010,29,,
24,2011,29,,
24,2012,29,,
24,2013,29,,
24,2014,29,,0
24,2015,29,,0
24,2016,29,,0
24,2017,29,,0
24,2010,30,,
24,2011,30,,
24,2012,30,,
24,2013,30,,
24,2014,30,,0
24,2015,30,,0
24,2016,30,,0
24,2017,30,,0
24,2010,31,,
24,2011,31,,
24,2012,31,,
24,2013,31,,
24,2014,31,,22794790
24,2015,31,,20384498
24,2016,31,,20172680
24,2017,31,,27345282
24,2010,32,,
24,2011,32,,
24,2012,32,,
24,2013,32,,
24,2014,32,,0
24,2015,32,,0
24,2016,32,,0
24,2017,32,,0
24,2010,33,,
24,2011,33,,
24,2012,33,,
24,2013,33,,
24,2014,33,,0
24,2015,33,,0
24,2016,33,,0
24,2017,33,,0
24,2010,34,,
24,2011,34,,
24,2012,34,,
24,2013,34,,
24,2014,34,,0
24,2015,34,,0
24,2016,34,,0
24,2017,34,,0
24,2010,35,,
24,2011,35,,
24,2012,35,,
24,2013,35,,
24,2014,35,,60026018
24,2015,35,,35914934
24,2016,35,,35541738
24,2017,35,,48178965
24,2010,36,,
24,2011,36,,
24,2012,36,,
24,2013,36,,
24,2014,36,,0
24,2015,36,,0
24,2016,36,,0
24,2017,36,,0
24,2010,37,,
24,2011,37,,
24,2012,37,,
24,2013,37,,
24,2014,37,,0
24,2015,37,,0
24,2016,37,,0
24,2017,37,,0
31,2010,15,675841276,2609812496
31,2011,15,748884024,2882911689
31,2012,15,847329651,3500721064
31,2013,15,854182254,3471906503
31,2014,15,893406798,3606502471
31,2015,15,656988436,2676189091
31,2016,15,527851591,2171436503
31,2017,15,540950578,2225322140
31,2010,16,7293341,27749330
31,2011,16,6604017,28838044
31,2012,16,5581546,24917106
31,2013,16,4753098,16677267
31,2014,16,9028819,31301157
31,2015,16,7790631,26503957
31,2016,16,7553037,26032730
31,2017,16,7740471,26678749
31,2010,17,11817106,36668535
31,2011,17,33257523,66279509
31,2012,17,37484477,73498845
31,2013,17,30080009,65315898
31,2014,17,28318031,62099986
31,2015,17,13180241,29932732
31,2016,17,26403352,60793797
31,2017,17,27058569,62302436
31,2010,18,8851928,43240516
31,2011,18,7430802,48818138
31,2012,18,7250127,46774306
31,2013,18,9481977,50969930
31,2014,18,13220480,69539286
31,2015,18,9755369,51317438
31,2016,18,7441081,38290504
31,2017,18,7625736,39240709
31,2010,19,9743973,25996387
31,2011,19,6966060,25299929
31,2012,19,10558306,37644229
31,2013,19,6962033,27201893
31,2014,19,6374721,24407533
31,2015,19,3138896,11924096
31,2016,19,2229178,8499601
31,2017,19,2284497,8710524
31,2010,20,6991840,15133620
31,2011,20,4640325,18292081
31,2012,20,3952172,15042417
31,2013,20,5716718,19184466
31,2014,20,7277706,24492955
31,2015,20,4757341,15987288
31,2016,20,2253939,7610348
31,2017,20,2309872,7799204
31,2010,21,5427023,14379867
31,2011,21,8103474,35320368
31,2012,21,4009147,21987030
31,2013,21,5452870,25242785
31,2014,21,7818895,35788961
31,2015,21,6815582,31274767
31,2016,21,7660908,34947817
31,2017,21,7851019,35815070
31,2010,22,14556781,47821591
31,2011,22,25162533,57544391
31,2012,22,24058926,54706642
31,2013,22,28220322,61215411
31,2014,22,20078494,43410578
31,2015,22,17120453,36739530
31,2016,22,17590558,37704563
31,2017,22,18027079,38640226
31,2010,23,1227989784,2691790943
31,2011,23,1160702735,3145300790
31,2012,23,1222993731,3024313780
31,2013,23,1309852512,3102711012
31,2014,23,1553015508,3637038661
31,2015,23,1036484788,2414339173
31,2016,23,658817657,1549615159
31,2017,23,675166654,1588069886
31,2010,24,55332960,151140597
31,2011,24,100563895,241747986
31,2012,24,95596151,232125196
31,2013,24,91179428,259305760
31,2014,24,113326363,318606027
31,2015,24,123872301,347659102
31,2016,24,83790628,235173796
31,2017,24,85869948,241009789
31,2010,25,15651903,53972466
31,2011,25,29078022,99911864
31,2012,25,25896887,91135309
31,2013,25,21798733,94371104
31,2014,25,20654097,87994105
31,2015,25,21642377,91905435
31,2016,25,26937735,114056208
31,2017,25,27606213,116886588
31,2010,26,140733819,563370087
31,2011,26,118084179,355395689
31,2012,26,144026111,411162803
31,2013,26,198899739,497379997
31,2014,26,256332444,637877575
31,2015,26,168611234,421490507
31,2016,26,100528557,248885457
31,2017,26,103023240,255061715
31,2010,27,66657946,168400922
31,2011,27,115313935,247689588
31,2012,27,202203204,441765683
31,2013,27,173117785,389030019
31,2014,27,158445951,358511783
31,2015,27,93972656,207525347
31,2016,27,81501800,180172361
31,2017,27,83524322,184643457
31,2010,28,63818601,168286302
31,2011,28,54086941,133079477
31,2012,28,85541416,217859211
31,2013,28,49051611,131856716
31,2014,28,62544977,167758444
31,2015,28,53706747,143199449
31,2016,28,31194015,83480707
31,2017,28,31968115,85552335
31,2010,29,104232231,270981125
31,2011,29,98506748,317479353
31,2012,29,113634257,354098861
31,2013,29,190796912,565342028
31,2014,29,237879297,710646295
31,2015,29,309337045,845602617
31,2016,29,193477765,526394948
31,2017,29,198279044,539457788
31,2010,30,2130516.816663719,9259550.665484184
31,2011,30,9281265.871286351,20882570.89027016
31,2012,30,6745617.104163668,15651748.01081728
31,2013,30,10974309.28917449,27055128.59896541
31,2014,30,7762867.691128172,21779930.62566045
31,2015,30,5322798.981282264,8926138.236686122
31,2016,30,4040342.039156226,9674565.063295014
31,2017,30,3763022.96732536,8037074.537495301
31,2010,31,27440354,93481592
31,2011,31,44974927,217286364
31,2012,31,51155600,236844885
31,2013,31,52972375,230061909
31,2014,31,47167762,206945131
31,2015,31,22721860,100047435
31,2016,31,11772017,51740842
31,2017,31,12064148,53024825
31,2010,32,16530572.52290655,36403614.13835708
31,2011,32,15560973.89445334,28441424.99942988
31,2012,32,13995478.8895633,21167155.67228058
31,2013,32,24705370.67167157,40090613.98313019
31,2014,32,16717689.35934508,30219013.6025528
31,2015,32,17072983.19481922,31114625.09743437
31,2016,32,13610902.90723791,21964317.10336499
31,2017,32,13992905.31398148,21886231.24040752
31,2010,33,8455337.660429725,22382681.36756308
31,2011,33,14161742.05895436,42499845.02251403
31,2012,33,15936887.4848679,47833835.69005992
31,2013,33,22570938.90170636,68329655.46128984
31,2014,33,11447846.11062455,31337790.55646158
31,2015,33,9994874.862731816,32955167.38636984
31,2016,33,6693311.053605862,24363353.83334
31,2017,33,7192755.203469808,27468664.84565184
31,2010,34,1891235,3791192
31,2011,34,2191631,4785446
31,2012,34,2543431,5723959
31,2013,34,2361891,5923209
31,2014,34,39639381,105115331
31,2015,34,41744000,103019431
31,2016,34,37516759,97194875
31,2017,34,38447762,99606830
31,2010,35,10024295,12730331
31,2011,35,9619013,13025430
31,2012,35,9517800,13326630
31,2013,35,10406085,15911214
31,2014,35,11258032,17113577
31,2015,35,7193304,10902198
31,2016,35,4648644,7011873
31,2017,35,4764003,7185878
31,2010,36,25175357,79127889
31,2011,36,17224568,64049508
31,2012,36,19354225,62014014
31,2013,36,22864324,68097142
31,2014,36,19759451,62371549
31,2015,36,17470846,52944472
31,2016,36,13357593,41977237
31,2017,36,13689070,43018930
31,2010,37,0,0
31,2011,37,1024,0
31,2012,37,0,0
31,2013,37,0,0
31,2014,37,0,1024
31,2015,37,0,0
31,2016,37,0,0
31,2017,37,0,0
36,2010,15,19182911119.42094,76004068219.99171
36,2011,15,22209365908.16752,87596037410.56482
36,2012,15,23700796999.51209,90209081845.71448
36,2013,15,22837253725.67419,86549895581.3777
36,2014,15,21722403170.02728,85622705835.8226
36,2015,15,18345750140.63393,74226833439.9171
36,2016,15,18083736552.34483,73592189143.63423
36,2017,15,17679666565.67329,74620469612.24045
36,2010,16,2286433236.204585,6305942239.314924
36,2011,16,2673482692.15006,6103262017.792772
36,2012,16,2613112994.324028,6495103214.228652
36,2013,16,2230252246.777233,5176362597.531343
36,2014,16,1947937732.294652,4580414683.624723
36,2015,16,1504898727.956916,3794184952.981433
36,2016,16,1295336844.600274,3532343848.725644
36,2017,16,1513164595.326707,4220974814.971939
36,2010,17,898726770.8443849,3487514013.036466
