"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2016","100","Afghanis","1993","Fiscal year beginning 21 March","316510000000","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2016","100","Afghanis","1993","Fiscal year beginning 21 March","10254000000","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2016","100","Afghanis","1993","Fiscal year beginning 21 March","151339000000","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2016","100","Afghanis","1993","Fiscal year beginning 21 March","1089000000","",""
"Afghanistan","2.1","Industries","Construction","F","2016","100","Afghanis","1993","Fiscal year beginning 21 March","126779000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2016","100","Afghanis","1993","Fiscal year beginning 21 March","106616000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2016","100","Afghanis","1993","Fiscal year beginning 21 March","86767000000","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2016","100","Afghanis","1993","Fiscal year beginning 21 March","19849000000","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2016","100","Afghanis","1993","Fiscal year beginning 21 March","331606000000","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2016","100","Afghanis","1993","Fiscal year beginning 21 March","248687000000","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2016","100","Afghanis","1993","Fiscal year beginning 21 March","82919000000","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2016","100","Afghanis","1993","Fiscal year beginning 21 March","64850000000","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2016","100","Afghanis","1993","Fiscal year beginning 21 March","27146000000","1","1"
