"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2013","100","Afghanis","1993","Fiscal year beginning 21 March","295270000000","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2013","100","Afghanis","1993","Fiscal year beginning 21 March","9325000000","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2013","100","Afghanis","1993","Fiscal year beginning 21 March","130985000000","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2013","100","Afghanis","1993","Fiscal year beginning 21 March","768000000","",""
"Afghanistan","2.1","Industries","Construction","F","2013","100","Afghanis","1993","Fiscal year beginning 21 March","93868000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2013","100","Afghanis","1993","Fiscal year beginning 21 March","101126000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2013","100","Afghanis","1993","Fiscal year beginning 21 March","86541000000","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2013","100","Afghanis","1993","Fiscal year beginning 21 March","14585000000","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2013","100","Afghanis","1993","Fiscal year beginning 21 March","293697000000","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2013","100","Afghanis","1993","Fiscal year beginning 21 March","241354000000","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2013","100","Afghanis","1993","Fiscal year beginning 21 March","52343000000","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2013","100","Afghanis","1993","Fiscal year beginning 21 March","45934000000","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2013","100","Afghanis","1993","Fiscal year beginning 21 March","10023000000","1","1"
"Afghanistan","2.1","Industries","Real estate, renting and business activities","K","2013","100","Afghanis","1993","Fiscal year beginning 21 March","35911000000","2","2"
"Afghanistan","2.1","Industries","Public administration and defence; compulsory social security","L","2013","100","Afghanis","1993","Fiscal year beginning 21 March","146018000000","",""
"Afghanistan","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2013","100","Afghanis","1993","Fiscal year beginning 21 March","9880000000","",""
"Afghanistan","2.1","Industries","Other community, social and personal services","O","2013","100","Afghanis","1993","Fiscal year beginning 21 March","9880000000","",""
"Afghanistan","2.1","Industries","Plus: Statistical discrepancy","","2013","100","Afghanis","1993","Fiscal year beginning 21 March","22566000000","3","3"
"Afghanistan","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2013","100","Afghanis","1993","Fiscal year beginning 21 March","1149438000000","",""
"Afghanistan","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2013","100","Afghanis","1993","Fiscal year beginning 21 March","47290000000","",""
"Afghanistan","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2013","100","Afghanis","1993","Fiscal year beginning 21 March","1196728000000","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2013","1000","lek","2008","Western calendar year","268093168087.087","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry","A","2013","1000","lek","2008","Western calendar year","266121026066.137","",""
"Albania","2.1","Industries","Agriculture, hunting and related service activities","01","2013","1000","lek","2008","Western calendar year","266121026066.137","",""
"Albania","2.1","Industries","Fishing","B","2013","1000","lek","2008","Western calendar year","1972142020.95033","",""
"Albania","2.1","Industries","Mining and quarrying","C","2013","1000","lek","2008","Western calendar year","72037087201.7572","",""
"Albania","2.1","Industries","Manufacturing","D","2013","1000","lek","2008","Western calendar year","75780012913.5553","",""
"Albania","2.1","Industries","Electricity, gas and water supply","E","2013","1000","lek","2008","Western calendar year","31234624139.683","",""
"Albania","2.1","Industries","Construction","F","2013","1000","lek","2008","Western calendar year","143409624512.732","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2013","1000","lek","2008","Western calendar year","179385640103.145","",""
