"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2015","100","Afghanis","1993","Fiscal year beginning 21 March","274103000000","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2015","100","Afghanis","1993","Fiscal year beginning 21 March","8610000000","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2015","100","Afghanis","1993","Fiscal year beginning 21 March","140434000000","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2015","100","Afghanis","1993","Fiscal year beginning 21 March","937000000","",""
"Afghanistan","2.1","Industries","Construction","F","2015","100","Afghanis","1993","Fiscal year beginning 21 March","124280000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2015","100","Afghanis","1993","Fiscal year beginning 21 March","107163000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2015","100","Afghanis","1993","Fiscal year beginning 21 March","89288000000","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2015","100","Afghanis","1993","Fiscal year beginning 21 March","17875000000","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2015","100","Afghanis","1993","Fiscal year beginning 21 March","308382000000","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2015","100","Afghanis","1993","Fiscal year beginning 21 March","232286000000","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2015","100","Afghanis","1993","Fiscal year beginning 21 March","76096000000","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2015","100","Afghanis","1993","Fiscal year beginning 21 March","55760000000","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2015","100","Afghanis","1993","Fiscal year beginning 21 March","21268000000","1","1"
"Afghanistan","2.1","Industries","Real estate, renting and business activities","K","2015","100","Afghanis","1993","Fiscal year beginning 21 March","34492000000","2","2"
"Afghanistan","2.1","Industries","Public administration and defence; compulsory social security","L","2015","100","Afghanis","1993","Fiscal year beginning 21 March","158790000000","",""
"Afghanistan","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2015","100","Afghanis","1993","Fiscal year beginning 21 March","9837000000","",""
"Afghanistan","2.1","Industries","Other community, social and personal services","O","2015","100","Afghanis","1993","Fiscal year beginning 21 March","9837000000","",""
"Afghanistan","2.1","Industries","Plus: Statistical discrepancy","","2015","100","Afghanis","1993","Fiscal year beginning 21 March","21264000000","3","3"
"Afghanistan","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2015","100","Afghanis","1993","Fiscal year beginning 21 March","1209561000000","",""
"Afghanistan","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2015","100","Afghanis","1993","Fiscal year beginning 21 March","50489000000","",""
"Afghanistan","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2015","100","Afghanis","1993","Fiscal year beginning 21 March","1260050000000","",""
"Algeria","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2015","100","Algerian dinar","1993","Western calendar year","1935113013045.43","",""
"Algeria","2.1","Industries","Mining and quarrying","C","2015","100","Algerian dinar","1993","Western calendar year","3217951967026.63","",""
"Algeria","2.1","Industries","Manufacturing","D","2015","100","Algerian dinar","1993","Western calendar year","738603698700.355","",""
"Algeria","2.1","Industries","Electricity, gas and water supply","E","2015","100","Algerian dinar","1993","Western calendar year","154446992237.092","",""
"Algeria","2.1","Industries","Construction","F","2015","100","Algerian dinar","1993","Western calendar year","1859784505476.35","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2015","100","Algerian dinar","1993","Western calendar year","2472134676402.15","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2015","100","Algerian dinar","1993","Western calendar year","2259343201759.82","",""
"Algeria","2.1","Industries","Hotels and restaurants","H","2015","100","Algerian dinar","1993","Western calendar year","212791474642.326","",""
"Algeria","2.1","Industries","Transport, storage and communications","I","2015","100","Algerian dinar","1993","Western calendar year","1665379825591.74","",""
"Algeria","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2015","100","Algerian dinar","1993","Western calendar year","885472822657.206","",""
"Algeria","2.1","Industries","Financial intermediation","J","2015","100","Algerian dinar","1993","Western calendar year","554736710342.143","",""
"Algeria","2.1","Industries","Real estate, renting and business activities","K","2015","100","Algerian dinar","1993","Western calendar year","330736112315.063","",""
"Algeria","2.1","Industries","Public administration and defence; compulsory social security","L","2015","100","Algerian dinar","1993","Western calendar year","2883430135692.59","",""
