"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2014","100","Afghanis","1993","Fiscal year beginning 21 March","294038000000","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2014","100","Afghanis","1993","Fiscal year beginning 21 March","8756000000","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2014","100","Afghanis","1993","Fiscal year beginning 21 March","135889000000","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2014","100","Afghanis","1993","Fiscal year beginning 21 March","789000000","",""
"Afghanistan","2.1","Industries","Construction","F","2014","100","Afghanis","1993","Fiscal year beginning 21 March","107470000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2014","100","Afghanis","1993","Fiscal year beginning 21 March","99416000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2014","100","Afghanis","1993","Fiscal year beginning 21 March","83602000000","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2014","100","Afghanis","1993","Fiscal year beginning 21 March","15814000000","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2014","100","Afghanis","1993","Fiscal year beginning 21 March","288114000000","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2014","100","Afghanis","1993","Fiscal year beginning 21 March","225597000000","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2014","100","Afghanis","1993","Fiscal year beginning 21 March","62517000000","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2014","100","Afghanis","1993","Fiscal year beginning 21 March","55802000000","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2014","100","Afghanis","1993","Fiscal year beginning 21 March","20983000000","1","1"
"Afghanistan","2.1","Industries","Real estate, renting and business activities","K","2014","100","Afghanis","1993","Fiscal year beginning 21 March","34819000000","2","2"
"Afghanistan","2.1","Industries","Public administration and defence; compulsory social security","L","2014","100","Afghanis","1993","Fiscal year beginning 21 March","156589000000","",""
"Afghanistan","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2014","100","Afghanis","1993","Fiscal year beginning 21 March","9691000000","",""
"Afghanistan","2.1","Industries","Other community, social and personal services","O","2014","100","Afghanis","1993","Fiscal year beginning 21 March","9691000000","",""
"Afghanistan","2.1","Industries","Plus: Statistical discrepancy","","2014","100","Afghanis","1993","Fiscal year beginning 21 March","22663000000","3","3"
"Afghanistan","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2014","100","Afghanis","1993","Fiscal year beginning 21 March","1179216000000","",""
"Afghanistan","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","100","Afghanis","1993","Fiscal year beginning 21 March","41911000000","",""
"Afghanistan","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","100","Afghanis","1993","Fiscal year beginning 21 March","1221127000000","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2014","1000","lek","2008","Western calendar year","277746684366.001","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry","A","2014","1000","lek","2008","Western calendar year","275930519530.032","",""
"Albania","2.1","Industries","Agriculture, hunting and related service activities","01","2014","1000","lek","2008","Western calendar year","275930519530.032","",""
"Albania","2.1","Industries","Fishing","B","2014","1000","lek","2008","Western calendar year","1816164835.96955","",""
"Albania","2.1","Industries","Mining and quarrying","C","2014","1000","lek","2008","Western calendar year","74558320296.8451","",""
"Albania","2.1","Industries","Manufacturing","D","2014","1000","lek","2008","Western calendar year","78014069819.3678","",""
"Albania","2.1","Industries","Electricity, gas and water supply","E","2014","1000","lek","2008","Western calendar year","30520191002.3048","",""
"Albania","2.1","Industries","Construction","F","2014","1000","lek","2008","Western calendar year","141370387412.081","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2014","1000","lek","2008","Western calendar year","191275099955.713","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2014","1000","lek","2008","Western calendar year","167834891662.74","",""
"Albania","2.1","Industries","Hotels and restaurants","H","2014","1000","lek","2008","Western calendar year","23440208292.973","",""
"Albania","2.1","Industries","Transport, storage and communications","I","2014","1000","lek","2008","Western calendar year","65260449755.4678","",""
"Albania","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2014","1000","lek","2008","Western calendar year","33985669934.0404","",""
"Albania","2.1","Industries","Post and telecommunications","64","2014","1000","lek","2008","Western calendar year","31274779821.4274","",""
"Albania","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2014","1000","lek","2008","Western calendar year","165473538081.582","",""
"Albania","2.1","Industries","Financial intermediation","J","2014","1000","lek","2008","Western calendar year","34561984449.3853","",""
"Albania","2.1","Industries","Real estate, renting and business activities","K","2014","1000","lek","2008","Western calendar year","130911553632.197","",""
"Albania","2.1","Industries","Public administration and defence; compulsory social security","L","2014","1000","lek","2008","Western calendar year","54000499087.4295","",""
"Albania","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2014","1000","lek","2008","Western calendar year","146885704557.888","",""
"Albania","2.1","Industries","Education","M","2014","1000","lek","2008","Western calendar year","56681371336.4677","",""
"Albania","2.1","Industries","Health and social work","N","2014","1000","lek","2008","Western calendar year","42990550421.8066","",""
"Albania","2.1","Industries","Other community, social and personal services","O","2014","1000","lek","2008","Western calendar year","47213782799.6132","",""
"Albania","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2014","1000","lek","2008","Western calendar year","1225104944334.68","",""
"Albania","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","1000","lek","2008","Western calendar year","189693665370.741","",""
"Albania","2.1","Industries","Plus: Taxes on products","D.21","2014","1000","lek","2008","Western calendar year","195427566813.75","",""
"Albania","2.1","Industries","Less: Subsidies on products","D.31","2014","1000","lek","2008","Western calendar year","5733901443.0087","",""
"Albania","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","1000","lek","2008","Western calendar year","1414798609705.42","4","4"
"Algeria","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2014","100","Algerian dinar","1993","Western calendar year","1772202429779.34","",""
"Algeria","2.1","Industries","Mining and quarrying","C","2014","100","Algerian dinar","1993","Western calendar year","4744646780059.65","",""
"Algeria","2.1","Industries","Manufacturing","D","2014","100","Algerian dinar","1993","Western calendar year","672033222901.183","",""
"Algeria","2.1","Industries","Electricity, gas and water supply","E","2014","100","Algerian dinar","1993","Western calendar year","142640420897.519","",""
"Algeria","2.1","Industries","Construction","F","2014","100","Algerian dinar","1993","Western calendar year","1730198098153.26","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2014","100","Algerian dinar","1993","Western calendar year","2256538582060.02","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2014","100","Algerian dinar","1993","Western calendar year","2067542982060.02","",""
"Algeria","2.1","Industries","Hotels and restaurants","H","2014","100","Algerian dinar","1993","Western calendar year","188995600000","",""
"Algeria","2.1","Industries","Transport, storage and communications","I","2014","100","Algerian dinar","1993","Western calendar year","1550496510899.89","",""
"Algeria","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2014","100","Algerian dinar","1993","Western calendar year","852093749591.072","",""
"Algeria","2.1","Industries","Financial intermediation","J","2014","100","Algerian dinar","1993","Western calendar year","542499049591.072","",""
"Algeria","2.1","Industries","Real estate, renting and business activities","K","2014","100","Algerian dinar","1993","Western calendar year","309594700000","",""
"Algeria","2.1","Industries","Public administration and defence; compulsory social security","L","2014","100","Algerian dinar","1993","Western calendar year","2722276367479.25","",""
"Algeria","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2014","100","Algerian dinar","1993","Western calendar year","180095200000","",""
"Algeria","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2014","100","Algerian dinar","1993","Western calendar year","16623221361821.2","",""
"Algeria","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2014","100","Algerian dinar","1993","Western calendar year","461791445500","",""
"Algeria","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2014","100","Algerian dinar","1993","Western calendar year","1242095550000","",""
"Algeria","2.1","Industries","Plus: Statistical discrepancy","","2014","100","Algerian dinar","1993","Western calendar year","-174927685820.981","",""
"Algeria","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2014","100","Algerian dinar","1993","Western calendar year","17228597780500.2","",""
"Andorra","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2014","100","Euro","1993","Western calendar year","12530107.2315592","",""
"Andorra","2.1","Industries","Agriculture, hunting, forestry","A","2014","100","Euro","1993","Western calendar year","12530107.2315592","",""
"Andorra","2.1","Industries","Agriculture, hunting and related service activities","01","2014","100","Euro","1993","Western calendar year","11886878.7599994","",""
"Andorra","2.1","Industries","Forestry, logging and related service activities","02","2014","100","Euro","1993","Western calendar year","643228.471559832","",""
"Andorra","2.1","Industries","Mining and quarrying","C","2014","100","Euro","1993","Western calendar year","41203.5974864676","",""
"Andorra","2.1","Industries","Manufacturing","D","2014","100","Euro","1993","Western calendar year","80231162.271394","",""
"Andorra","2.1","Industries","Electricity, gas and water supply","E","2014","100","Euro","1993","Western calendar year","37477896.7481141","",""
"Andorra","2.1","Industries","Construction","F","2014","100","Euro","1993","Western calendar year","132458728.082267","",""
"Andorra","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2014","100","Euro","1993","Western calendar year","535295546.849796","",""
"Andorra","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2014","100","Euro","1993","Western calendar year","359436014.450122","",""
"Andorra","2.1","Industries","Hotels and restaurants","H","2014","100","Euro","1993","Western calendar year","175859532.399674","",""
"Andorra","2.1","Industries","Transport, storage and communications","I","2014","100","Euro","1993","Western calendar year","109840769.146958","",""
"Andorra","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2014","100","Euro","1993","Western calendar year","37321088.5442094","",""
"Andorra","2.1","Industries","Post and telecommunications","64","2014","100","Euro","1993","Western calendar year","72519680.6027484","",""
"Andorra","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2014","100","Euro","1993","Western calendar year","915216449.93277","",""
