"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Angola","2.1","Industries","Electricity, gas and water supply","E","2017","200","(second) Kwanza","1993","Western calendar year","91604797001.443","",""
"Angola","2.1","Industries","Construction","F","2017","200","(second) Kwanza","1993","Western calendar year","2766058492343.74","",""
"Angola","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","200","(second) Kwanza","1993","Western calendar year","4470361524377.71","",""
"Angola","2.1","Industries","Transport, storage and communications","I","2017","200","(second) Kwanza","1993","Western calendar year","830490616968.09","",""
"Angola","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","200","(second) Kwanza","1993","Western calendar year","473717809525.56","",""
"Angola","2.1","Industries","Post and telecommunications","64","2017","200","(second) Kwanza","1993","Western calendar year","356772807442.53","",""
"Angola","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","200","(second) Kwanza","1993","Western calendar year","1985638286868.68","",""
"Angola","2.1","Industries","Financial intermediation","J","2017","200","(second) Kwanza","1993","Western calendar year","397710499924.828","",""
"Angola","2.1","Industries","Real estate, renting and business activities","K","2017","200","(second) Kwanza","1993","Western calendar year","1587927786943.85","",""
"Angola","2.1","Industries","Public administration and defence; compulsory social security","L","2017","200","(second) Kwanza","1993","Western calendar year","1828724145265.71","",""
"Angola","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","200","(second) Kwanza","1993","Western calendar year","359966886256.718","",""
"Angola","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","200","(second) Kwanza","1993","Western calendar year","20049050442542.8","",""
"Angola","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2017","200","(second) Kwanza","1993","Western calendar year","301583725111.7","",""
"Angola","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","200","(second) Kwanza","1993","Western calendar year","514829388892.04","",""
"Angola","2.1","Industries","Plus: Taxes on products","D.21","2017","200","(second) Kwanza","1993","Western calendar year","576747772581.06","",""
"Angola","2.1","Industries","Less: Subsidies on products","D.31","2017","200","(second) Kwanza","1993","Western calendar year","61918383689.02","",""
"Angola","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","200","(second) Kwanza","1993","Western calendar year","20262296106323.2","",""
"Argentina","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","1100","Argentine peso","2008","Western calendar year","583161670129.091","",""
"Argentina","2.1","Industries","Agriculture, hunting, forestry","A","2017","1100","Argentine peso","2008","Western calendar year","555666523895.382","",""
"Argentina","2.1","Industries","Agriculture, hunting and related service activities","01","2017","1100","Argentine peso","2008","Western calendar year","551746998662.114","",""
"Argentina","2.1","Industries","Forestry, logging and related service activities","02","2017","1100","Argentine peso","2008","Western calendar year","3919525233.26808","",""
"Argentina","2.1","Industries","Fishing","B","2017","1100","Argentine peso","2008","Western calendar year","27495146233.7097","",""
"Argentina","2.1","Industries","Mining and quarrying","C","2017","1100","Argentine peso","2008","Western calendar year","314548310849.484","",""
"Argentina","2.1","Industries","Manufacturing","D","2017","1100","Argentine peso","2008","Western calendar year","1368136774136.21","",""
"Argentina","2.1","Industries","Electricity, gas and water supply","E","2017","1100","Argentine peso","2008","Western calendar year","184337380060.074","",""
"Argentina","2.1","Industries","Construction","F","2017","1100","Argentine peso","2008","Western calendar year","460891139901.226","",""
"Argentina","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2017","1100","Argentine peso","2008","Western calendar year","1643927663153.61","",""
"Argentina","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2017","1100","Argentine peso","2008","Western calendar year","1412924823217.08","",""
"Argentina","2.1","Industries","Hotels and restaurants","H","2017","1100","Argentine peso","2008","Western calendar year","231002839936.531","",""
"Argentina","2.1","Industries","Transport, storage and communications","I","2017","1100","Argentine peso","2008","Western calendar year","599545552854.963","",""
"Argentina","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2017","1100","Argentine peso","2008","Western calendar year","360618516109.335","",""
"Argentina","2.1","Industries","Post and telecommunications","64","2017","1100","Argentine peso","2008","Western calendar year","238927036745.628","",""
"Argentina","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2017","1100","Argentine peso","2008","Western calendar year","1471213911918.47","",""
"Argentina","2.1","Industries","Financial intermediation","J","2017","1100","Argentine peso","2008","Western calendar year","418834701673.758","",""
"Argentina","2.1","Industries","Real estate, renting and business activities","K","2017","1100","Argentine peso","2008","Western calendar year","1052379210244.71","",""
"Argentina","2.1","Industries","Public administration and defence; compulsory social security","L","2017","1100","Argentine peso","2008","Western calendar year","821668939262.841","",""
"Argentina","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2017","1100","Argentine peso","2008","Western calendar year","1453132695012.31","",""
"Argentina","2.1","Industries","Education","M","2017","1100","Argentine peso","2008","Western calendar year","580964880345.507","",""
"Argentina","2.1","Industries","Health and social work","N","2017","1100","Argentine peso","2008","Western calendar year","563739787423.639","",""
"Argentina","2.1","Industries","Other community, social and personal services","O","2017","1100","Argentine peso","2008","Western calendar year","308428027243.165","",""
"Argentina","2.1","Industries","Private households with employed persons","P","2017","1100","Argentine peso","2008","Western calendar year","74606990682.8314","",""
"Argentina","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2017","1100","Argentine peso","2008","Western calendar year","8975171027961.11","",""
"Argentina","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2017","1100","Argentine peso","2008","Western calendar year","1669607771227.95","",""
"Argentina","2.1","Industries","Plus: Taxes on products","D.21","2017","1100","Argentine peso","2008","Western calendar year","1686146794773.28","",""
"Argentina","2.1","Industries","Less: Subsidies on products","D.31","2017","1100","Argentine peso","2008","Western calendar year","16539023545.326","",""
"Argentina","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2017","1100","Argentine peso","2008","Western calendar year","10644778799189.1","",""
"Argentina","2.1","","Memorandum Item: FISIM, if distributed to uses","P.119","2017","1100","Argentine peso","2008","Western calendar year","85968137317.5127","",""
"Bahrain","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2017","100","Bahrain dinar","1993","Western calendar year","38768531.7284116","4","4"
"Bahrain","2.1","Industries","Agriculture, hunting, forestry","A","2017","100","Bahrain dinar","1993","Western calendar year","26288019.3969534","4","4"
"Bahrain","2.1","Industries","Fishing","B","2017","100","Bahrain dinar","1993","Western calendar year","12480512.3314582","4","4"
"Bahrain","2.1","Industries","Mining and quarrying","C","2017","100","Bahrain dinar","1993","Western calendar year","1782645697.96448","4","4"
"Bahrain","2.1","Industries","Manufacturing","D","2017","100","Bahrain dinar","1993","Western calendar year","2468284911.06426","4","4"
"Bahrain","2.1","Industries","Electricity, gas and water supply","E","2017","100","Bahrain dinar","1993","Western calendar year","173644311.985187","4","4"
"Bahrain","2.1","Industries","Construction","F","2017","100","Bahrain dinar","1993","Western calendar year","1079644701.77319","4","4"
