"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","100","Afghanis","1993","Fiscal year beginning 21 March","275819000000","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2012","100","Afghanis","1993","Fiscal year beginning 21 March","10066000000","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2012","100","Afghanis","1993","Fiscal year beginning 21 March","130850000000","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2012","100","Afghanis","1993","Fiscal year beginning 21 March","654000000","",""
"Afghanistan","2.1","Industries","Construction","F","2012","100","Afghanis","1993","Fiscal year beginning 21 March","81255000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","100","Afghanis","1993","Fiscal year beginning 21 March","95296000000","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","100","Afghanis","1993","Fiscal year beginning 21 March","83142000000","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2012","100","Afghanis","1993","Fiscal year beginning 21 March","12154000000","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2012","100","Afghanis","1993","Fiscal year beginning 21 March","242580000000","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","100","Afghanis","1993","Fiscal year beginning 21 March","197726000000","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2012","100","Afghanis","1993","Fiscal year beginning 21 March","44854000000","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","100","Afghanis","1993","Fiscal year beginning 21 March","46943000000","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2012","100","Afghanis","1993","Fiscal year beginning 21 March","10679000000","1","1"
"Afghanistan","2.1","Industries","Real estate, renting and business activities","K","2012","100","Afghanis","1993","Fiscal year beginning 21 March","36264000000","2","2"
"Afghanistan","2.1","Industries","Public administration and defence; compulsory social security","L","2012","100","Afghanis","1993","Fiscal year beginning 21 March","132607000000","",""
"Afghanistan","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","100","Afghanis","1993","Fiscal year beginning 21 March","8282000000","",""
"Afghanistan","2.1","Industries","Other community, social and personal services","O","2012","100","Afghanis","1993","Fiscal year beginning 21 March","8282000000","",""
"Afghanistan","2.1","Industries","Plus: Statistical discrepancy","","2012","100","Afghanis","1993","Fiscal year beginning 21 March","20454000000","3","3"
"Afghanistan","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","100","Afghanis","1993","Fiscal year beginning 21 March","1044804000000","",""
"Afghanistan","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","100","Afghanis","1993","Fiscal year beginning 21 March","41395000000","",""
"Afghanistan","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","100","Afghanis","1993","Fiscal year beginning 21 March","1086198000000","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","1000","lek","2008","Western calendar year","252609113780.968","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","200","lek","1993","Western calendar year","252609113780.968","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","100","lek","1993","Western calendar year","241737027978.766","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry","A","2012","1000","lek","2008","Western calendar year","250766576944.453","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry","A","2012","200","lek","1993","Western calendar year","250766576944.453","",""
"Albania","2.1","Industries","Agriculture, hunting, forestry","A","2012","100","lek","1993","Western calendar year","239383470669.675","",""
"Albania","2.1","Industries","Agriculture, hunting and related service activities","01","2012","1000","lek","2008","Western calendar year","250766576944.453","",""
"Albania","2.1","Industries","Agriculture, hunting and related service activities","01","2012","200","lek","1993","Western calendar year","250766576944.453","",""
"Albania","2.1","Industries","Fishing","B","2012","1000","lek","2008","Western calendar year","1842536836.51532","",""
"Albania","2.1","Industries","Fishing","B","2012","200","lek","1993","Western calendar year","1842536836.51532","",""
"Albania","2.1","Industries","Fishing","B","2012","100","lek","1993","Western calendar year","2353557309.09091","",""
"Albania","2.1","Industries","Mining and quarrying","C","2012","1000","lek","2008","Western calendar year","65181436119.1064","",""
"Albania","2.1","Industries","Mining and quarrying","C","2012","200","lek","1993","Western calendar year","65181436119.1064","",""
"Albania","2.1","Industries","Mining and quarrying","C","2012","100","lek","1993","Western calendar year","29572861043.2447","",""
"Albania","2.1","Industries","Manufacturing","D","2012","1000","lek","2008","Western calendar year","78406119061.2385","",""
"Albania","2.1","Industries","Manufacturing","D","2012","200","lek","1993","Western calendar year","78406119061.2385","",""
"Albania","2.1","Industries","Manufacturing","D","2012","100","lek","1993","Western calendar year","82411960949.2678","",""
"Albania","2.1","Industries","Electricity, gas and water supply","E","2012","1000","lek","2008","Western calendar year","23367266015.0504","",""
"Albania","2.1","Industries","Electricity, gas and water supply","E","2012","200","lek","1993","Western calendar year","23367266015.0504","",""
"Albania","2.1","Industries","Electricity, gas and water supply","E","2012","100","lek","1993","Western calendar year","16192996277.9337","",""
"Albania","2.1","Industries","Construction","F","2012","1000","lek","2008","Western calendar year","140650583824.349","",""
"Albania","2.1","Industries","Construction","F","2012","200","lek","1993","Western calendar year","140650583824.349","",""
"Albania","2.1","Industries","Construction","F","2012","100","lek","1993","Western calendar year","103886490800.772","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","1000","lek","2008","Western calendar year","175184123181.921","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","200","lek","1993","Western calendar year","175184123181.921","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","100","lek","1993","Western calendar year","266335343046.624","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","1000","lek","2008","Western calendar year","151430220788.089","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","200","lek","1993","Western calendar year","151430220788.089","",""
"Albania","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","100","lek","1993","Western calendar year","226457876333.677","",""
"Albania","2.1","Industries","Hotels and restaurants","H","2012","1000","lek","2008","Western calendar year","23753902393.8319","",""
"Albania","2.1","Industries","Hotels and restaurants","H","2012","200","lek","1993","Western calendar year","23753902393.8319","",""
"Albania","2.1","Industries","Hotels and restaurants","H","2012","100","lek","1993","Western calendar year","39877466712.947","",""
"Albania","2.1","Industries","Transport, storage and communications","I","2012","1000","lek","2008","Western calendar year","78680119288.3244","",""
"Albania","2.1","Industries","Transport, storage and communications","I","2012","200","lek","1993","Western calendar year","78680119288.3244","",""
"Albania","2.1","Industries","Transport, storage and communications","I","2012","100","lek","1993","Western calendar year","109295507992.097","",""
"Albania","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","1000","lek","2008","Western calendar year","43987292153.4799","",""
"Albania","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","200","lek","1993","Western calendar year","43987292153.4799","",""
"Albania","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","100","lek","1993","Western calendar year","66348534157.3853","",""
"Albania","2.1","Industries","Post and telecommunications","64","2012","1000","lek","2008","Western calendar year","34692827134.8445","",""
"Albania","2.1","Industries","Post and telecommunications","64","2012","200","lek","1993","Western calendar year","34692827134.8445","",""
"Albania","2.1","Industries","Post and telecommunications","64","2012","100","lek","1993","Western calendar year","42946973834.7121","",""
"Albania","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","1000","lek","2008","Western calendar year","159388015759.373","",""
"Albania","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","200","lek","1993","Western calendar year","159388015759.373","",""
"Albania","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","100","lek","1993","Western calendar year","182238430271.43","",""
"Albania","2.1","Industries","Financial intermediation","J","2012","1000","lek","2008","Western calendar year","32133189795.8909","",""
"Albania","2.1","Industries","Financial intermediation","J","2012","200","lek","1993","Western calendar year","32133189795.8909","",""
"Albania","2.1","Industries","Financial intermediation","J","2012","100","lek","1993","Western calendar year","58181794303.1559","",""
"Albania","2.1","Industries","Real estate, renting and business activities","K","2012","1000","lek","2008","Western calendar year","127254825963.482","",""
"Albania","2.1","Industries","Real estate, renting and business activities","K","2012","200","lek","1993","Western calendar year","127254825963.482","",""
"Albania","2.1","Industries","Real estate, renting and business activities","K","2012","100","lek","1993","Western calendar year","124056635968.274","",""
"Albania","2.1","Industries","Public administration and defence; compulsory social security","L","2012","1000","lek","2008","Western calendar year","52360227832.9715","",""
"Albania","2.1","Industries","Public administration and defence; compulsory social security","L","2012","200","lek","1993","Western calendar year","52360227832.9715","",""
"Albania","2.1","Industries","Public administration and defence; compulsory social security","L","2012","100","lek","1993","Western calendar year","49011217274.5969","",""
"Albania","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","1000","lek","2008","Western calendar year","131549810264.559","",""
"Albania","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","200","lek","1993","Western calendar year","131549810264.559","",""
"Albania","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","100","lek","1993","Western calendar year","102191910764.62","",""
"Albania","2.1","Industries","Education","M","2012","1000","lek","2008","Western calendar year","56843638343.1276","",""
"Albania","2.1","Industries","Education","M","2012","200","lek","1993","Western calendar year","56843638343.1276","",""
"Albania","2.1","Industries","Education","M","2012","100","lek","1993","Western calendar year","39860708063.5319","",""
"Albania","2.1","Industries","Health and social work","N","2012","1000","lek","2008","Western calendar year","33887137114.011","",""
"Albania","2.1","Industries","Health and social work","N","2012","200","lek","1993","Western calendar year","33887137114.011","",""
"Albania","2.1","Industries","Health and social work","N","2012","100","lek","1993","Western calendar year","25311855944.8085","",""
"Albania","2.1","Industries","Other community, social and personal services","O","2012","1000","lek","2008","Western calendar year","40819034807.4205","",""
"Albania","2.1","Industries","Other community, social and personal services","O","2012","200","lek","1993","Western calendar year","40819034807.4205","",""
"Albania","2.1","Industries","Other community, social and personal services","O","2012","100","lek","1993","Western calendar year","37019346756.2796","",""
"Albania","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","1000","lek","2008","Western calendar year","1157376815127.86","",""
"Albania","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","200","lek","1993","Western calendar year","1157376815127.86","4","4"
"Albania","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","100","lek","1993","Western calendar year","1188997921515.6","",""
"Albania","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2012","100","lek","1993","Western calendar year","50904034381.2707","",""
"Albania","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","1000","lek","2008","Western calendar year","178111500028.78","",""
"Albania","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","200","lek","1993","Western calendar year","178111500028.78","",""
"Albania","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","100","lek","1993","Western calendar year","164932200000","",""
"Albania","2.1","Industries","Plus: Taxes on products","D.21","2012","1000","lek","2008","Western calendar year","179605773154.78","",""
"Albania","2.1","Industries","Plus: Taxes on products","D.21","2012","200","lek","1993","Western calendar year","179605773154.78","",""
"Albania","2.1","Industries","Plus: Taxes on products","D.21","2012","100","lek","1993","Western calendar year","179644067774.918","",""
"Albania","2.1","Industries","Less: Subsidies on products","D.31","2012","1000","lek","2008","Western calendar year","1494273126","",""
"Albania","2.1","Industries","Less: Subsidies on products","D.31","2012","200","lek","1993","Western calendar year","1494273126","",""
"Albania","2.1","Industries","Less: Subsidies on products","D.31","2012","100","lek","1993","Western calendar year","14711821503.2501","",""
"Albania","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","1000","lek","2008","Western calendar year","1335488315156.64","5","5"
"Albania","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","200","lek","1993","Western calendar year","1335488315156.64","4","4"
"Albania","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","100","lek","1993","Western calendar year","1303026133406","6","6"
"Algeria","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","100","Algerian dinar","1993","Western calendar year","1421693273033.46","",""
"Algeria","2.1","Industries","Mining and quarrying","C","2012","100","Algerian dinar","1993","Western calendar year","5639182808790.88","",""
"Algeria","2.1","Industries","Manufacturing","D","2012","100","Algerian dinar","1993","Western calendar year","584210958288.5","",""
"Algeria","2.1","Industries","Electricity, gas and water supply","E","2012","100","Algerian dinar","1993","Western calendar year","122553397493.716","",""
"Algeria","2.1","Industries","Construction","F","2012","100","Algerian dinar","1993","Western calendar year","1411159583291.82","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","100","Algerian dinar","1993","Western calendar year","1801208052268.47","",""
"Algeria","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","100","Algerian dinar","1993","Western calendar year","1649969752268.47","",""
"Algeria","2.1","Industries","Hotels and restaurants","H","2012","100","Algerian dinar","1993","Western calendar year","151238300000","",""
"Algeria","2.1","Industries","Transport, storage and communications","I","2012","100","Algerian dinar","1993","Western calendar year","1194841707583.11","",""
"Algeria","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","100","Algerian dinar","1993","Western calendar year","780125300000","",""
"Algeria","2.1","Industries","Financial intermediation","J","2012","100","Algerian dinar","1993","Western calendar year","527709700000","",""
"Algeria","2.1","Industries","Real estate, renting and business activities","K","2012","100","Algerian dinar","1993","Western calendar year","252415600000","",""
"Algeria","2.1","Industries","Public administration and defence; compulsory social security","L","2012","100","Algerian dinar","1993","Western calendar year","2634957804456.29","",""
"Algeria","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","100","Algerian dinar","1993","Western calendar year","154480100000","",""
"Algeria","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","100","Algerian dinar","1993","Western calendar year","15744412985206.2","",""
"Algeria","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2012","100","Algerian dinar","1993","Western calendar year","452007600000","",""
"Algeria","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","100","Algerian dinar","1993","Western calendar year","1077505705882.35","",""
"Algeria","2.1","Industries","Plus: Statistical discrepancy","","2012","100","Algerian dinar","1993","Western calendar year","-160313071075.544","",""
"Algeria","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","100","Algerian dinar","1993","Western calendar year","16209598020013","",""
"Andorra","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","100","Euro","1993","Western calendar year","15079009.3550914","",""
"Andorra","2.1","Industries","Agriculture, hunting, forestry","A","2012","100","Euro","1993","Western calendar year","15079009.3550914","",""
"Andorra","2.1","Industries","Agriculture, hunting and related service activities","01","2012","100","Euro","1993","Western calendar year","14073393.6115248","",""
"Andorra","2.1","Industries","Forestry, logging and related service activities","02","2012","100","Euro","1993","Western calendar year","1005615.74356663","",""
"Andorra","2.1","Industries","Mining and quarrying","C","2012","100","Euro","1993","Western calendar year","127616.169784448","",""
"Andorra","2.1","Industries","Manufacturing","D","2012","100","Euro","1993","Western calendar year","83060139.0906564","",""
"Andorra","2.1","Industries","Electricity, gas and water supply","E","2012","100","Euro","1993","Western calendar year","27539455.4055559","",""
"Andorra","2.1","Industries","Construction","F","2012","100","Euro","1993","Western calendar year","160801701.366252","",""
"Andorra","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","100","Euro","1993","Western calendar year","565017842.794355","",""
"Andorra","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","100","Euro","1993","Western calendar year","372406845.959027","",""
"Andorra","2.1","Industries","Hotels and restaurants","H","2012","100","Euro","1993","Western calendar year","192610996.835328","",""
"Andorra","2.1","Industries","Transport, storage and communications","I","2012","100","Euro","1993","Western calendar year","109211949.647828","",""
"Andorra","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","100","Euro","1993","Western calendar year","37273251.4338444","",""
"Andorra","2.1","Industries","Post and telecommunications","64","2012","100","Euro","1993","Western calendar year","71938698.2139833","",""
"Andorra","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","100","Euro","1993","Western calendar year","815355148.275743","",""
"Andorra","2.1","Industries","Financial intermediation","J","2012","100","Euro","1993","Western calendar year","433079326.993415","",""
"Andorra","2.1","Industries","Real estate, renting and business activities","K","2012","100","Euro","1993","Western calendar year","382275821.282329","",""
"Andorra","2.1","Industries","Public administration and defence; compulsory social security","L","2012","100","Euro","1993","Western calendar year","224096464.366992","",""
"Andorra","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","100","Euro","1993","Western calendar year","181089292.698644","",""
"Andorra","2.1","Industries","Education","M","2012","100","Euro","1993","Western calendar year","23812770.7039279","",""
"Andorra","2.1","Industries","Health and social work","N","2012","100","Euro","1993","Western calendar year","73227763.3612081","",""
"Andorra","2.1","Industries","Other community, social and personal services","O","2012","100","Euro","1993","Western calendar year","84048758.6335078","",""
"Andorra","2.1","Industries","Private households with employed persons","P","2012","100","Euro","1993","Western calendar year","37290334.3808324","",""
"Andorra","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","100","Euro","1993","Western calendar year","2219972007.12878","",""
"Andorra","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","100","Euro","1993","Western calendar year","243050248.3814","7","7"
"Andorra","2.1","Industries","Plus: Taxes on products","D.21","2012","100","Euro","1993","Western calendar year","268869824.8514","",""
"Andorra","2.1","Industries","Less: Subsidies on products","D.31","2012","100","Euro","1993","Western calendar year","25819576.47","",""
"Andorra","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","100","Euro","1993","Western calendar year","2463022255.51018","",""
"Andorra","2.1","","Memorandum Item: FISIM, if distributed to uses","P.119","2012","100","Euro","1993","Western calendar year","85049169.1293432","",""
"Angola","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","200","(second) Kwanza","1993","Western calendar year","742009231551.03","",""
"Angola","2.1","Industries","Agriculture, hunting, forestry","A","2012","200","(second) Kwanza","1993","Western calendar year","503377230670.656","",""
"Angola","2.1","Industries","Fishing","B","2012","200","(second) Kwanza","1993","Western calendar year","238632000880.374","",""
"Angola","2.1","Industries","Mining and quarrying","C","2012","200","(second) Kwanza","1993","Western calendar year","5032490796582.21","",""
"Angola","2.1","Industries","Manufacturing","D","2012","200","(second) Kwanza","1993","Western calendar year","581392486654.528","",""
"Angola","2.1","Industries","Electricity, gas and water supply","E","2012","200","(second) Kwanza","1993","Western calendar year","47734737728.9647","",""
"Angola","2.1","Industries","Construction","F","2012","200","(second) Kwanza","1993","Western calendar year","1296605788327.54","",""
"Angola","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","200","(second) Kwanza","1993","Western calendar year","1999442909319.15","",""
"Angola","2.1","Industries","Transport, storage and communications","I","2012","200","(second) Kwanza","1993","Western calendar year","557359256815.155","",""
"Angola","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","200","(second) Kwanza","1993","Western calendar year","276148335256.86","",""
"Angola","2.1","Industries","Post and telecommunications","64","2012","200","(second) Kwanza","1993","Western calendar year","281210921558.295","",""
"Angola","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","200","(second) Kwanza","1993","Western calendar year","938748595891.477","",""
"Angola","2.1","Industries","Financial intermediation","J","2012","200","(second) Kwanza","1993","Western calendar year","213079882766.926","",""
"Angola","2.1","Industries","Real estate, renting and business activities","K","2012","200","(second) Kwanza","1993","Western calendar year","725668713124.551","",""
"Angola","2.1","Industries","Public administration and defence; compulsory social security","L","2012","200","(second) Kwanza","1993","Western calendar year","1211036977285.49","",""
"Angola","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2012","200","(second) Kwanza","1993","Western calendar year","135097051477.006","",""
"Angola","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2012","200","(second) Kwanza","1993","Western calendar year","12541917831632.6","",""
"Angola","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2012","200","(second) Kwanza","1993","Western calendar year","150984000000","",""
"Angola","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2012","200","(second) Kwanza","1993","Western calendar year","-165984000000","",""
"Angola","2.1","Industries","Plus: Taxes on products","D.21","2012","200","(second) Kwanza","1993","Western calendar year","316064000000","",""
"Angola","2.1","Industries","Less: Subsidies on products","D.31","2012","200","(second) Kwanza","1993","Western calendar year","482048000000","",""
"Angola","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2012","200","(second) Kwanza","1993","Western calendar year","12224949831632.6","",""
"Anguilla","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2012","100","EC dollar","1993","Western calendar year","17092896","",""
"Anguilla","2.1","Industries","Agriculture, hunting, forestry","A","2012","100","EC dollar","1993","Western calendar year","2573494","",""
"Anguilla","2.1","Industries","Agriculture, hunting and related service activities","01","2012","100","EC dollar","1993","Western calendar year","2573494","",""
"Anguilla","2.1","Industries","Fishing","B","2012","100","EC dollar","1993","Western calendar year","14519402","",""
"Anguilla","2.1","Industries","Mining and quarrying","C","2012","100","EC dollar","1993","Western calendar year","2657639","",""
"Anguilla","2.1","Industries","Manufacturing","D","2012","100","EC dollar","1993","Western calendar year","14904638","",""
"Anguilla","2.1","Industries","Electricity, gas and water supply","E","2012","100","EC dollar","1993","Western calendar year","30282609","",""
"Anguilla","2.1","Industries","Construction","F","2012","100","EC dollar","1993","Western calendar year","40376015","",""
"Anguilla","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2012","100","EC dollar","1993","Western calendar year","186334553","",""
"Anguilla","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2012","100","EC dollar","1993","Western calendar year","57835859","",""
"Anguilla","2.1","Industries","Hotels and restaurants","H","2012","100","EC dollar","1993","Western calendar year","128498694","",""
"Anguilla","2.1","Industries","Transport, storage and communications","I","2012","100","EC dollar","1993","Western calendar year","55034729","",""
"Anguilla","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2012","100","EC dollar","1993","Western calendar year","33413630","",""
"Anguilla","2.1","Industries","Post and telecommunications","64","2012","100","EC dollar","1993","Western calendar year","21621099","",""
"Anguilla","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2012","100","EC dollar","1993","Western calendar year","182007177","",""
"Anguilla","2.1","Industries","Financial intermediation","J","2012","100","EC dollar","1993","Western calendar year","89012327","",""
"Anguilla","2.1","Industries","Real estate, renting and business activities","K","2012","100","EC dollar","1993","Western calendar year","92994850","",""
